Time,Size,Route,cB,cLu,cGI,cL,cK,cS,cRt,cU,cB_SD,cLu_SD,cGI_SD,cL_SD,cK_SD,cS_SD,cRt_SD,cU_SD
1,5 nm,Oral,0.0056,0.00313,99.75,0.06749,0.001,4.82E-05,0.119,0.0001,0.004,0.00299,0.203,0.1141,0.000343,5.40E-05,0.125,0
24,5 nm,Oral,0.00972,0.000432,99.95,0.0019,0.0079,0.000365,0.023,0.0065,0.0026,0.000296,0.012,0.000624,0.002448,5.11E-05,0.00478,0.0022
1,18 nm,Oral,0.072,0.0023,99.33,0.00578,0.148,0.02,0.225,0.021,0.046,0.004,1.008,0.00501,0.262,0.014,0.309,0.025
24,18 nm,Oral,0.024,0.0014,99.88,0.00148,0.004,0.0033,0.0786,0.0057,0.01,0.000654,0.0359,0.000834,0.00397,0.00148,0.029,0.0028
1,80 nm,Oral,0.00111,9.72E-05,99.976,0.000683,0.000814,7.05E-05,0.00547,0.001826,0.000253,3.23E-05,0.01374,0.000361,0.000143,2.60E-05,0.003284,0.00155
24,80 nm,Oral,0.002241,0.000361,99.974,0.000417,0.000632,5.59E-05,0.02112,0.001978,0.000316,0.00032,0.01533,0.000332,9.96E-05,2.75E-05,0.015676,0.001866
1,200 nm,Oral,0.000172,0.00318,99.713,0.0177,0.003868,2.31E-05,0.186,2.30E-05,0.000172,0.0028,0.52,0.0327,0.00689,1.20E-05,0.3484,1.46E-05
24,200 nm,Oral,0.0024,0.00179,99.9879,0.000911,0.000207,0.000136,0.0071,0.001439,0.0015,0,0.00321,0.000242,0.000135,1.59E-05,0.004655,0.000212
1,1.4 nm,IV,54.95,0.1597,2.995,34.24,1.63,0.64,9.15,0.4427,6.58,0.13,0.41,2.42,0.52,0.11,1.26,0.29
24,1.4 nm,IV,6.76,0.4383,5.34,51.33,4.5,2.1,26.52,4.7272,0.62,0.02,1.13,2.08,0.16,0.087,0.9,1.33
1,5 nm,IV,1.651,0.087,0.579,92.1423,0.0681,1.6986,3.8759,0.001,0.409,0.033,0.31,0.99,0.049,0.389,0.278,9.64E-05
24,5 nm,IV,0.139,0.0702,0.578,91.8779,0.0915,2.363,4.899,0.0128,0.028,0.014,0.25,0.91,0.023,0.446,0.689,0
1,18 nm,IV,0.1396,0.0703,0.3776,98.06,0.0646,0.5971,0.9146,0.0012,0.027,0.00377,0.173,0.59,0.069,0.0383,0.046,9.64E-05
24,18 nm,IV,0.1133,0.0719,0.9318,94.302,0.0303,1.4601,3.6539,0.004,0.053,0.022,0.869,0.84,0.008,0.4946,1.22,0.002133
1,80 nm,IV,0.7447,0.0737,0.2646,96.95,0.0045,1.5986,0.4851,7.20E-05,0.27,0.013,0.15,0.26,0.000407,0.362,0.391,5.58E-05
24,80 nm,IV,0.301,0.045,0.4028,96.89,0.0355,1.99,0.375,4.00E-04,0.12,0.014,0.16,0.87,0.02667,0.587,0.114,5.15E-05
1,200 nm,IV,0.7875,0.1355,0.2961,94.92,0.001,3.69,0.151,2.40E-04,0.39,0.02,0.2,1.46,0.000407,1.105,0.21,0.00015
24,200 nm,IV,0.486,0.061,0.1113,96.22,0.0059,2.912,0.2635,0.0027,0.17,0.02,0.08,0.54,0.007,0.4,0.041,0.000875
1,1.4 nm,IT,0.8293,75,22.69,0.0893,0.23,0.0048,0.956,0.032,0.1778,0.945,1.08,0.035,0.063,0.004647,0.127,0.028
3,1.4 nm,IT,1.36,70.9,24.62,0.2059,0.58,0.014,1.582,0.934,0.516,2.522,3.52,0.069,0.2288,0.0098,0.367,0.782
24,1.4 nm,IT,0.769,70.5,25.57,0.2707,0.65,0.0221,1.709,0.4901,0.098,13.13,12.9,0.0921,0.1333,0.00841,0.371,0.17
1,5 nm,IT,0.00145,78.87,20.73,0.0069,0.00027,0.000379,0.3751,0.00007,0.001018,5.756,5.58,0.0049,0.000153,0.00028,0.235,0
24,5 nm,IT,0.00535,76.5,23.36,0.047,0.0068,0.0023,0.0938,0.0053,0.00356,1.345,1.31,0.0686,0.00131,0.0027,0.0281,0.00127
1,18 nm,IT,0.04488,79.56,20.18,0.01,0.000135,0.000381,0.19978,6.49E-05,0.00287,4.47,4.49,0.004755,0,0.0000578,0.0746,0
3,18 nm,IT,0.0168,63.475,36.37,0.01,0.000932,0.000381,0.11842,0.00429,0.00288,0.359,0.435,0.004625,0.000523,0.0000797,0.1103,0.00259
24,18 nm,IT,0.002214,80.17,19.73,0.01,0.001735,0.000585,0.08162,0.001393,0.000448,1.409,1.39,0.005913,0.000405,0.000382,0.04,0.000484
1,80 nm,IT,0.124,80.07,19.86,0.0022,0.000371,0.000475,0.062,0.00185,0,2.46,2.42,0.002,0.000273,0.000329,0.0467,0.000473
24,80 nm,IT,0.000328,86.47,13.47,0.0033,0.000176,0.000549,0.04465,0.000583,0,7.09,7.06,0.00353,0.000078,0.000427,0.029,0.000106
1,200 nm,IT,0.001191,78.98,20.89,0.000586,0.00301,0.0001,0.1064,0.00066,0.001377,7.033,6.93,0.000494,0.003142,0.0000699,0.159,0.000111
24,200 nm,IT,0.001255,70.6,29.25,0.0106,0.000307,0.0015,0.1287,0.001876,4.60E-05,5.207,5.23,0.00766,0.000203,0.001181,0.089,0.000828
2,23 nm,IH,0.0011 ,96.1415 ,0.3899 ,0.0118 ,0.0009 ,0.00061268,3.454230259,0,0.0006 ,3.9199 ,0.5966 ,0.0137 ,0.0009 ,0.0008 ,3.9522 ,0
6,23 nm,IH,0.0073 ,83.1645 ,15.9887 ,0.0170 ,0.0009 ,0.000349767,0.821194567,0,0.0005 ,2.9037 ,2.5955 ,0.0094 ,0.0002 ,0.0001 ,0.4128 ,0
26,23 nm,IH,0.0030 ,86.5297 ,12.1807 ,0.1090 ,0.0010 ,0.001392802,1.175197648,0,0.0018 ,5.8188 ,5.1413 ,0.2321 ,0.0005 ,0.0015 ,1.2229 ,0
170,23 nm,IH,0.0039 ,76.8273 ,1.2718 ,0.4101 ,0.0069 ,0.023318792,0.688423543,0,0.0010 ,4.1350 ,0.4238 ,0.4452 ,0.0030 ,0.0063 ,1.2156 ,0
674,23 nm,IH,0.0089 ,35.7619 ,0.6834 ,0.4928 ,0.0279 ,0.046693022,0.37149453,0,0.0018 ,3.2456 ,0.2021 ,0.1944 ,0.0051 ,0.0152 ,0.3426 ,0
